GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement Coverage,Branch Coverage,CC
Apache Commons Math,org.apache.commons.math3.optim,AbstractOptimizationProblem.MaxIterCallback,0,9,0,0,0,2,0,2,0,2,100,0,2
Apache Commons Math,org.apache.commons.math3.optim,SimpleValueChecker,0,71,1,9,0,16,1,7,0,3,100,90,8
Apache Commons Math,org.apache.commons.math3.optim,PointValuePair.DataTransferObject,0,20,0,0,0,5,0,2,0,2,100,0,2
Apache Commons Math,org.apache.commons.math3.optim,AbstractConvergenceChecker,0,15,0,0,0,6,0,3,0,3,100,0,3
Apache Commons Math,org.apache.commons.math3.optim,PointVectorValuePair.DataTransferObject,0,22,0,0,0,5,0,2,0,2,100,0,2
Apache Commons Math,org.apache.commons.math3.optim,AbstractOptimizationProblem,0,40,0,0,0,10,0,5,0,5,100,0,5
Apache Commons Math,org.apache.commons.math3.optim,SimplePointChecker,0,85,2,10,0,21,2,7,0,3,100,83.33333333,9
Apache Commons Math,org.apache.commons.math3.optim,InitialGuess,0,13,0,0,0,4,0,2,0,2,100,0,2
Apache Commons Math,org.apache.commons.math3.optim,SimpleBounds,0,41,0,0,0,11,0,4,0,4,100,0,4
Apache Commons Math,org.apache.commons.math3.optim,BaseMultiStartMultivariateOptimizer,14,219,4,30,3,51,4,17,0,4,94.44444444,88.23529412,21
Apache Commons Math,org.apache.commons.math3.analysis.solvers,BaseSecantSolver,12,262,3,45,3,65,3,33,0,7,95.58823529,93.75,36
Apache Commons Math,org.apache.commons.math3.analysis.solvers,FieldBracketingNthOrderBrentSolver,44,652,5,61,8,121,8,37,3,7,93.79844961,92.42424242,45
Apache Commons Math,org.apache.commons.math3.analysis.solvers,AbstractDifferentiableUnivariateSolver,6,23,0,0,2,7,1,3,1,3,77.77777778,0,4
Apache Commons Math,org.apache.commons.math3.analysis.solvers,BrentSolver,6,344,1,39,2,83,2,24,1,5,97.64705882,97.5,26
Apache Commons Math,org.apache.commons.math3.analysis.solvers,NewtonRaphsonSolver,0,54,0,2,0,14,0,5,0,4,100,100,5
Apache Commons Math,org.apache.commons.math3.analysis.solvers,LaguerreSolver.ComplexSolver,28,318,8,22,5,61,7,12,0,4,92.42424242,73.33333333,19
Apache Commons Math,org.apache.commons.math3.analysis.solvers,BracketingNthOrderBrentSolver.new Object() {...},5,35,0,0,0,1,0,1,0,1,100,0,1
Apache Commons Math,org.apache.commons.math3.analysis.solvers,SecantSolver,11,93,1,9,5,26,3,6,2,2,83.87096774,90,9
Apache Commons Math,org.apache.commons.math3.analysis.solvers,MullerSolver2,19,238,5,15,6,49,6,8,1,3,89.09090909,75,14
Apache Commons Math,org.apache.commons.math3.analysis.solvers,RiddersSolver,13,166,4,12,6,46,5,7,1,3,88.46153846,75,12
Apache Commons Math,org.apache.commons.math3.analysis.solvers,AbstractUnivariateDifferentiableSolver,6,28,0,0,2,7,1,3,1,3,77.77777778,0,4
Apache Commons Math,org.apache.commons.math3.analysis.solvers,BracketingNthOrderBrentSolver,4,662,1,65,1,131,1,43,0,9,99.24242424,98.48484848,44
Apache Commons Math,org.apache.commons.math3.analysis.solvers,AbstractUnivariateSolver,0,15,0,0,0,6,0,3,0,3,100,0,3
Apache Commons Math,org.apache.commons.math3.analysis.solvers,BaseSecantSolver.new Object() {...},8,57,0,0,0,2,0,1,0,1,100,0,1
Apache Commons Math,org.apache.commons.math3.analysis.solvers,IllinoisSolver,18,5,0,0,6,2,3,1,3,1,25,0,4
Apache Commons Math,org.apache.commons.math3.analysis.solvers,AbstractPolynomialSolver,11,19,0,0,4,6,2,3,2,3,60,0,5
Apache Commons Math,org.apache.commons.math3.analysis.solvers,UnivariateSolverUtils,129,358,19,49,29,72,15,32,2,11,71.28712871,72.05882353,47
Apache Commons Math,org.apache.commons.math3.analysis.solvers,BisectionSolver,5,57,0,4,2,17,1,5,1,3,89.47368421,100,6
Apache Commons Math,org.apache.commons.math3.analysis.solvers,BaseAbstractUnivariateSolver,4,149,0,0,1,43,1,21,1,21,97.72727273,0,22
Apache Commons Math,org.apache.commons.math3.analysis.solvers,FieldBracketingNthOrderBrentSolver.new Object() {...},5,35,0,0,0,1,0,1,0,1,100,0,1
Apache Commons Math,org.apache.commons.math3.analysis.solvers,LaguerreSolver,91,150,8,8,17,29,10,8,4,6,63.04347826,50,18
Apache Commons Math,org.apache.commons.math3.analysis.solvers,BaseSecantSolver.Method,5,43,0,0,0,4,1,3,1,3,100,0,4
Apache Commons Math,org.apache.commons.math3.analysis.solvers,AllowedSolution,5,63,0,0,0,6,1,3,1,3,100,0,4
Apache Commons Math,org.apache.commons.math3.analysis.solvers,NewtonSolver,0,46,0,2,0,12,0,5,0,4,100,100,5
Apache Commons Math,org.apache.commons.math3.analysis.solvers,PegasusSolver,5,18,0,0,2,6,1,3,1,3,75,0,4
Apache Commons Math,org.apache.commons.math3.analysis.solvers,MullerSolver,11,320,5,31,5,59,6,17,1,4,92.1875,86.11111111,23
Apache Commons Math,org.apache.commons.math3.analysis.solvers,RegulaFalsiSolver,18,5,0,0,6,2,3,1,3,1,25,0,4
Apache Commons Math,org.apache.commons.math3.optim.nonlinear.vector,Weight,20,13,2,0,6,4,2,2,1,2,40,0,4
Apache Commons Math,org.apache.commons.math3.optim.nonlinear.vector,MultivariateVectorOptimizer,0,96,0,10,0,25,0,13,0,8,100,100,13
Apache Commons Math,org.apache.commons.math3.optim.nonlinear.vector,Target,0,13,0,0,0,4,0,2,0,2,100,0,2
Apache Commons Math,org.apache.commons.math3.optim.nonlinear.vector,JacobianMultivariateVectorOptimizer,0,42,0,4,0,10,0,6,0,4,100,100,6
Apache Commons Math,org.apache.commons.math3.optim.nonlinear.vector,ModelFunction,0,9,0,0,0,4,0,2,0,2,100,0,2
Apache Commons Math,org.apache.commons.math3.optim.nonlinear.vector,ModelFunctionJacobian,0,9,0,0,0,4,0,2,0,2,100,0,2
Apache Commons Math,org.apache.commons.math3.optim.nonlinear.vector,MultiStartMultivariateVectorOptimizer,0,41,0,0,0,11,0,5,0,5,100,0,5
Apache Commons Math,org.apache.commons.math3.optim.nonlinear.vector,MultiStartMultivariateVectorOptimizer.new Comparator() {...},8,53,4,2,2,10,3,3,0,3,83.33333333,33.33333333,6
Apache Commons Math,org.apache.commons.math3.optim.univariate,UnivariatePointValuePair,0,15,0,0,0,6,0,3,0,3,100,0,3
Apache Commons Math,org.apache.commons.math3.optim.univariate,SearchInterval,19,43,3,3,2,12,3,5,0,5,85.71428571,50,8
Apache Commons Math,org.apache.commons.math3.optim.univariate,BracketFinder,44,359,10,36,9,83,13,22,5,7,90.2173913,78.26086957,35
Apache Commons Math,org.apache.commons.math3.optim.univariate,MultiStartUnivariateOptimizer.new Comparator() {...},6,33,3,5,1,8,3,3,0,2,88.88888889,62.5,6
Apache Commons Math,org.apache.commons.math3.optim.univariate,UnivariateOptimizer,0,84,0,8,0,24,0,12,0,8,100,100,12
Apache Commons Math,org.apache.commons.math3.optim.univariate,MultiStartUnivariateOptimizer,13,213,2,18,2,49,2,14,0,6,96.07843137,90,16
Apache Commons Math,org.apache.commons.math3.optim.univariate,BrentOptimizer,23,470,5,69,6,115,5,37,0,5,95.04132231,93.24324324,42
Apache Commons Math,org.apache.commons.math3.optim.univariate,UnivariateObjectiveFunction,0,9,0,0,0,4,0,2,0,2,100,0,2
Apache Commons Math,org.apache.commons.math3.optim.univariate,SimpleUnivariateValueChecker,0,67,1,9,0,16,1,7,0,3,100,90,8
Apache Commons Math,org.apache.commons.math3.ml.distance,ChebyshevDistance,0,7,0,0,0,2,0,2,0,2,100,0,2
Apache Commons Math,org.apache.commons.math3.ml.distance,EarthMoversDistance,0,37,0,2,0,9,0,3,0,2,100,100,3
Apache Commons Math,org.apache.commons.math3.ml.distance,EuclideanDistance,0,7,0,0,0,2,0,2,0,2,100,0,2
Apache Commons Math,org.apache.commons.math3.ml.distance,ManhattanDistance,0,7,0,0,0,2,0,2,0,2,100,0,2
Apache Commons Math,org.apache.commons.math3.ml.distance,CanberraDistance,0,53,0,6,0,8,0,5,0,2,100,100,5
Apache Commons Math,org.apache.commons.math3.ode.events,Action,9,49,0,0,0,5,2,2,2,2,100,0,4
Apache Commons Math,org.apache.commons.math3.ode.events,Transformer.new Transformer() {...},0,8,0,0,0,2,0,2,0,2,100,0,2
Apache Commons Math,org.apache.commons.math3.ode.events,Transformer.new Transformer() {...},0,8,0,0,0,2,0,2,0,2,100,0,2
Apache Commons Math,org.apache.commons.math3.ode.events,Transformer.new Transformer() {...},0,14,0,0,0,2,0,2,0,2,100,0,2
Apache Commons Math,org.apache.commons.math3.ode.events,Transformer.new Transformer() {...},0,9,0,0,0,2,0,2,0,2,100,0,2
Apache Commons Math,org.apache.commons.math3.ode.events,Transformer.new Transformer() {...},0,13,0,0,0,2,0,2,0,2,100,0,2
Apache Commons Math,org.apache.commons.math3.ode.events,FieldEventState,166,379,27,37,22,72,21,22,3,8,76.59574468,57.8125,43
Apache Commons Math,org.apache.commons.math3.ode.events,Transformer,5,63,0,0,0,6,1,3,1,3,100,0,4
Apache Commons Math,org.apache.commons.math3.ode.events,FilterType,9,29,0,0,0,3,2,2,2,2,100,0,4
Apache Commons Math,org.apache.commons.math3.ode.events,EventFilter,24,237,2,20,4,42,3,13,1,4,91.30434783,90.90909091,16
Apache Commons Math,org.apache.commons.math3.ode.events,FilterType.new Object() {...},5,35,0,0,0,1,0,1,0,1,100,0,1
Apache Commons Math,org.apache.commons.math3.ode.events,FilterType.new FilterType() {...},8,112,2,36,2,39,2,24,0,3,95.12195122,94.73684211,26
Apache Commons Math,org.apache.commons.math3.ode.events,FilterType.new FilterType() {...},8,112,2,36,2,39,2,24,0,3,95.12195122,94.73684211,26
Apache Commons Math,org.apache.commons.math3.ode.events,FieldEventState.new RealFieldUnivariateFunction() {...},0,18,0,0,0,2,0,2,0,2,100,0,2
Apache Commons Math,org.apache.commons.math3.ode.events,EventState,53,551,10,64,8,106,12,38,3,10,92.98245614,86.48648649,50
Apache Commons Math,org.apache.commons.math3.ode.events,EventState.new UnivariateFunction() {...},6,24,0,0,2,3,0,2,0,2,60,0,2
Apache Commons Math,org.apache.commons.math3.ode.events,EventHandler.Action,9,49,0,0,0,5,2,2,2,2,100,0,4
Apache Commons Math,org.apache.commons.math3.ode.events,EventState.LocalMaxCountExceededException,9,0,0,0,4,0,2,0,2,0,0,0,2
